"","idade","sexo","sem","ano"
"290",18,1,2,1
"291",18,1,4,2
"292",20,2,4,2
"293",21,2,6,3
"294",20,2,2,1
"295",23,2,4,2
"296",22,2,4,2
"297",22,2,10,5
"298",21,2,2,1
"299",19,1,1,1
"300",21,2,8,4
"301",21,2,2,1
"302",18,1,2,1
"303",20,2,2,1
"304",20,2,6,3
"305",22,2,6,3
"306",19,1,5,3
"307",19,1,6,3
"308",19,1,6,3
"309",20,2,4,2
"310",21,2,8,4
"311",19,1,6,3
"312",20,2,4,2
"313",21,2,8,4
"314",21,2,8,4
"315",18,1,4,2
"316",21,2,6,3
"317",20,2,4,2
"318",22,2,4,2
"319",20,2,6,3
"320",22,2,6,3
"321",19,1,4,2
"322",20,2,6,3
"323",22,2,8,4
"324",18,1,4,2
"325",19,1,3,2
"326",20,2,6,3
"327",19,1,4,2
"328",17,1,2,1
"329",20,2,4,2
"330",21,2,2,1
"331",19,1,2,1
"332",18,1,4,2
"333",20,2,8,4
"334",20,2,6,3
"335",20,2,6,3
"336",22,2,6,3
"337",19,1,4,2
"338",19,1,2,1
"339",21,2,8,4
"340",20,2,6,3
"341",22,2,8,4
"342",18,1,2,1
"343",18,1,2,1
"344",19,1,4,2
"345",19,1,2,1
"346",20,2,6,3
"347",18,1,4,2
"348",22,2,8,4
"349",20,2,4,2
"350",19,1,2,1
"351",20,2,6,3
"352",19,1,6,3
"353",21,2,6,3
"354",18,1,2,1
"355",19,1,2,1
"356",19,1,6,3
"357",19,1,4,2
"358",19,1,4,2
"359",19,1,2,1
"360",21,2,4,2
"361",18,1,4,2
"362",21,2,4,2
"363",19,1,4,2
"364",20,2,2,1
"365",20,2,4,2
"366",21,2,2,1
"367",18,1,4,2
"368",19,1,4,2
"369",18,1,2,1
"370",19,1,4,2
"371",21,2,8,4
"372",19,1,4,2
"373",19,1,5,3
"374",19,1,6,3
"375",20,2,6,3
"376",21,2,8,4
"377",21,2,2,1
"378",20,2,4,2
"379",18,1,4,2
"380",20,2,6,3
"381",18,1,2,1
"382",18,1,2,1
"383",19,1,4,2
"384",19,1,2,1
"385",19,1,2,1
"386",18,1,2,1
"387",19,1,4,2
"388",21,2,6,3
"389",21,2,4,2
"390",22,2,8,4
"391",22,2,6,3
"392",21,2,2,1
"393",22,2,6,3
"394",20,2,2,1
"395",20,2,6,3
"396",19,1,2,1
"397",19,1,4,2
"398",19,1,4,2
"399",19,1,2,1
"400",19,1,4,2
"401",19,1,4,2
"402",19,1,2,1
"403",19,1,2,1
"404",19,1,4,2
"405",20,2,6,3
"406",18,1,2,1
"407",21,2,5,3
"408",19,1,4,2
"409",19,1,6,3
"410",19,1,1,1
"411",21,2,6,3
"412",19,1,4,2
"413",20,2,2,1
"414",19,1,2,1
"415",19,1,2,1
"416",21,2,6,3
"417",18,1,4,2
"418",19,1,4,2
"419",18,1,2,1
"420",19,1,4,2
"421",20,2,6,3
"422",20,2,6,3
"423",18,1,4,2
"424",19,1,4,2
"425",18,1,4,2
"426",18,1,4,2
"427",18,1,4,2
"428",19,1,2,1
"429",19,1,4,2
"430",18,1,3,2
"431",18,1,2,1
"432",18,1,2,1
"433",20,2,4,2
"434",18,1,4,2
"435",18,1,4,2
"436",18,1,2,1
"437",17,1,2,1
"438",20,2,8,4
"439",18,1,2,1
"440",20,2,6,3
"441",18,1,4,2
"442",19,1,4,2
"443",19,1,4,2
"444",18,1,2,1
"445",19,1,4,2
"446",18,1,4,2
"447",18,1,1,1
"448",17,1,2,1
"449",19,1,2,1
"450",17,1,2,1
"451",18,1,2,1
"452",20,2,2,1
"453",21,2,4,2
"454",20,2,2,1
"455",19,1,6,3
"456",18,1,4,2
"457",21,2,2,1
"458",21,2,6,3
"459",20,2,6,3
"460",17,1,1,1
"461",19,1,4,2
"462",19,1,4,2
"463",19,1,2,1
"464",19,1,2,1
"465",18,1,2,1
"466",18,1,2,1
"467",20,2,6,3
"468",17,1,2,1
"469",17,1,2,1
"470",19,1,2,1
"471",18,1,2,1
